_id,HB,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,SIRLower95pcConfidenceInterval,SIRUpper95pcConfidenceInterval
1,S08000015,"C00-C97, excluding C44",All cancer types,All,d,2017-2021,12,9,11,29,29,58,96,156,206,363,703,1036,1394,1825,2134,1914,1479,1231,12685,13.8574530001386,9.12778904665314,10.9608696951882,30.0483882666225,28.5233744135496,56.7675759266328,95.9587377427706,157.518478129165,207.370720462256,293.917605907501,491.814747446481,720.57033559381,1059.29466477199,1509.82419855222,1865.85760376319,2368.81188118812,2643.80966000501,2565.01083513919,687.116763807336,675.210843733057,699.179932386925,612.398937393153,601.6186751365,NA,623.273601347683,NA,287.129992926209,281.294696548814,NA,293.024364033495,NA,97.7355310178797,96.0420322095136,99.4513968633751
2,S08000015,"C00-C97, excluding C44",All cancer types,Male,NA,2017-2021,6,4,3,16,10,24,27,33,61,112,263,469,677,998,1214,1041,768,531,6257,13.4366462131052,7.91906713389163,5.87463528305951,32.6078095703921,19.0519737844841,47.0892930719878,57.1755288736421,71.0931104312982,131.129216019261,193.731405244586,393.171081743706,683.076026798718,1075.6446718251,1723.42336119362,2244.90550686046,2846.12860892388,3202.2682733603,3089.18494385944,707.043997866551,689.632184664875,724.784266482415,652.34201934724,636.027213642148,NA,668.86055763897,NA,284.873526458911,276.860905170512,NA,292.998856658877,NA,96.7461748720523,94.3636833581836,99.1736095648952
3,S08000015,"C00-C97, excluding C44",All cancer types,Females,NA,2017-2021,6,5,8,13,19,34,69,123,145,251,440,567,717,827,920,873,711,700,6428,14.3054694578227,10.3973881760902,16.2304727125178,27.4013026157705,38.6312343695993,66.4010624169987,130.632336236274,233.760310160021,274.517228322605,382.086098763929,578.581948243215,754.842574718765,1044.30656296426,1313.38637699112,1525.88194317748,1974.04124457308,2224.72542945649,2272.50592474759,668.769663575983,652.519595844389,685.32212458847,572.455855439065,558.420061464371,NA,586.663438522838,NA,289.386459393507,280.935038083546,NA,297.961384037176,NA,98.7181979887921,96.3194985695017,101.161534181249
4,S08000015,C67,Bladder,All,d,2017-2021,0,0,0,1,0,0,1,2,2,3,7,9,27,47,64,59,60,66,348,0,0,0,1.03615131953871,0,0,0.999570184820527,2.01946766832263,2.01330796565297,2.42907112320249,4.89715964740451,6.25978090766823,20.5171850422122,38.8831437435367,55.9582411625325,73.019801980198,107.253941582353,137.522920486748,18.8503455896691,16.92162567077,20.9386663319092,17.3221967385785,15.513015184469,NA,19.2297216582377,NA,6.34268840549897,5.60028547005505,NA,7.13063014702589,NA,106.561261333145,95.658181262884,118.366567039754
5,S08000015,C67,Bladder,Male,NA,2017-2021,0,0,0,1,0,0,1,0,1,1,7,5,19,35,49,40,36,39,234,0,0,0,2.03798809814951,0,0,2.11761218050526,0,2.14965927900428,1.7297446896838,10.4646295521139,7.28226041363239,30.1879597705715,60.4406990398563,90.6098598320944,109.361329833771,150.106325313764,226.889289661993,26.4421121145554,23.1624324844823,30.0560181427548,24.9361333912384,21.7858334766358,NA,28.296066997783,NA,9.16928972381297,7.90223994815107,NA,10.5291736795549,NA,103.266349954376,90.4579728115025,117.38000634436
6,S08000015,C67,Bladder,Females,NA,2017-2021,0,0,0,0,0,0,0,2,1,2,0,4,8,12,15,19,24,27,114,0,0,0,0,0,0,0,3.80098065300848,1.89322226429383,3.04451074712294,0,5.32516807561739,11.6519560721256,19.0576016008385,24.8785099431111,42.9630969609262,75.0962170280672,87.6537999545499,11.860569640271,9.78350737456463,14.2481671868014,9.70826008591852,7.99767138499797,NA,11.5821566502373,NA,3.51608708718496,2.77488247973499,NA,4.34370365284714,NA,114.029407054526,94.0601993556268,136.984150441495
7,S08000015,C40-C41,Bone and articular cartilage,All,d,2017-2021,0,0,2,2,0,0,0,0,1,0,3,1,2,1,1,2,1,0,16,0,0,1.99288539912512,2.07230263907741,0,0,0,0,1.00665398282648,0,2.0987827060305,0.695531211963137,1.51979148460831,0.827300930713547,0.87434751816457,2.47524752475248,1.78756569303922,0,0.866682555846857,0.49538396494494,1.40743817290105,0.809732016193451,NA,z,NA,z,0.700007655667458,NA,z,NA,z,87.7704944194454,50.1684212256898,142.533784102324
8,S08000015,C40-C41,Bone and articular cartilage,Male,NA,2017-2021,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1.49494707887341,1.45645208272648,3.17767997584963,0,1.84918081289989,2.73403324584427,0,0,0.678002874732189,0.248815105620514,1.47572682162634,0.591796849928103,NA,z,NA,z,0.324436585003155,NA,z,NA,z,61.5207703737231,22.5770384593718,133.904817090162
9,S08000015,C40-C41,Bone and articular cartilage,Females,NA,2017-2021,0,0,2,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,10,0,0,4.05761817812944,4.21558501781085,0,0,0,0,1.89322226429383,0,2.62991794656007,0,0,1.58813346673654,0,2.26121562952243,3.12900904283613,0,1.04040084563781,0.498912645461817,1.91333419776957,1.0276671824588,NA,z,NA,z,1.07557872633176,NA,z,NA,z,117.972427723636,56.5723646361225,216.955494897888
10,S08000015,"C40-C41, C47+C49",Bone and connective tissue,All,d,2017-2021,2,1,2,4,1,0,0,0,1,5,4,4,8,7,9,15,8,6,77,2.3095755000231,1.01419878296146,1.99288539912512,4.14460527815482,0.983564634949986,0,0,0,1.00665398282648,4.04845187200415,2.798376941374,2.78212484785255,6.07916593843325,5.79110651499483,7.86912766348113,18.5643564356436,14.3005255443138,12.5020836806134,4.170909800013,3.29161678842364,5.21292161398625,3.93729447154378,3.09146548739375,NA,4.88385543395407,NA,2.48871945395765,1.78892380879152,NA,3.30223965479958,NA,110.898994869545,87.5197524844014,138.604715768008
11,S08000015,"C40-C41, C47+C49",Bone and connective tissue,Male,NA,2017-2021,1,0,0,1,0,0,0,0,0,2,2,2,5,2,4,9,6,4,38,2.23944103551753,0,0,2.03798809814951,0,0,0,0,0,3.45948937936761,2.98989415774682,2.91290416545296,7.94419993962408,3.45375423084893,7.39672325159954,24.6062992125984,25.0177208856273,23.270696375589,4.2940182066372,3.03870285000725,5.89387547790836,4.16139432725508,2.91935361949491,NA,5.62013430362212,NA,1.98255225833756,1.22380239157657,NA,2.92136959352313,NA,101.061195460727,71.5169167650426,138.71438662589
12,S08000015,"C40-C41, C47+C49",Bone and connective tissue,Females,NA,2017-2021,1,1,2,3,1,0,0,0,1,3,2,2,3,5,5,6,2,2,39,2.38424490963712,2.07947763521803,4.05761817812944,6.32337752671627,2.03322286155786,0,0,0,1.89322226429383,4.56676612068441,2.62991794656007,2.66258403780869,4.3694835270471,7.94066733368272,8.29283664770371,13.5672937771346,6.25801808567227,6.4928740707074,4.05756329798745,2.88532415659245,5.54682260185866,3.71319461583247,2.6297710802506,NA,4.98058884687585,NA,2.99488664957773,1.87463847332609,NA,4.37332767676119,NA,122.519876332219,87.1236091423176,167.488704255966
13,S08000015,C47+C49,Connective tissue,All,d,2017-2021,2,1,0,2,1,0,0,0,0,5,1,3,6,6,8,13,7,6,61,2.3095755000231,1.01419878296146,0,2.07230263907741,0.983564634949986,0,0,0,0,4.04845187200415,0.699594235343501,2.08659363588941,4.55937445382494,4.96380558428128,6.99478014531656,16.0891089108911,12.5129598512745,12.5020836806134,3.30422724416614,2.52747202570703,4.24441812638594,3.12756245535032,2.37650805755416,NA,3.98016667591049,NA,1.78871179829019,1.21319893230328,NA,2.47417875155094,NA,119.133204160285,91.12746146004,153.031584642102
14,S08000015,C47+C49,Connective tissue,Male,NA,2017-2021,1,0,0,1,0,0,0,0,0,2,1,1,3,2,3,8,6,4,32,2.23944103551753,0,0,2.03798809814951,0,0,0,0,0,3.45948937936761,1.49494707887341,1.45645208272648,4.76651996377445,3.45375423084893,5.54754243869966,21.8722659667542,25.0177208856273,23.270696375589,3.61601533190501,2.47335181018683,5.10473472904976,3.56959747732697,2.41620396844115,NA,4.94449558567433,NA,1.65811567333441,0.951095438306887,NA,2.55840828761513,NA,114.908781066806,78.5975211859008,162.21691324397
15,S08000015,C47+C49,Connective tissue,Females,NA,2017-2021,1,1,0,1,1,0,0,0,0,3,0,2,3,4,5,5,1,2,29,2.38424490963712,2.07947763521803,0,2.10779250890542,2.03322286155786,0,0,0,0,4.56676612068441,0,2.66258403780869,4.3694835270471,6.35253386694618,8.29283664770371,11.3060781476122,3.12900904283613,6.4928740707074,3.01716245234964,2.02064104688753,4.33314856909371,2.68552743337367,1.79156754519788,NA,3.75755075684294,NA,1.91930792324597,1.07312839072692,NA,3.00741936954435,NA,124.170344571351,83.1588285382668,178.3293274395
16,S08000015,C71,Malignant brain cancer,All,d,2017-2021,1,3,2,3,1,3,6,5,1,5,17,18,16,21,21,25,17,11,176,1.15478775001155,3.04259634888438,1.99288539912512,3.10845395861612,0.983564634949986,2.93625392723963,5.99742110892316,5.04866917080658,1.00665398282648,4.04845187200415,11.8931020008395,12.5195618153365,12.1583318768665,17.3733195449845,18.361297881456,30.9405940594059,30.3886167816667,22.9204867477913,9.53350811431543,8.17703356180173,11.0507161768375,8.85274227548319,7.56917382571761,NA,10.2353633422758,NA,5.25182174404711,4.32425961967925,NA,6.26816936205787,NA,106.15298453626,91.0490143638744,123.046678029566
17,S08000015,C71,Malignant brain cancer,Male,NA,2017-2021,1,2,1,2,1,2,1,4,1,1,5,10,10,11,15,15,8,7,97,2.23944103551753,3.95953356694581,1.95821176101984,4.07597619629901,1.90519737844841,3.92410775599898,2.11761218050526,8.61734671894524,2.14965927900428,1.7297446896838,7.47473539436704,14.5645208272648,15.8883998792482,18.9956482696691,27.7377121934983,41.010498687664,33.3569611808364,40.7237186572808,10.9610464748371,8.88867029785032,13.3715471497227,10.4509775514787,8.43617911843829,NA,12.6782886870639,NA,6.04795505596562,4.62056325321164,NA,7.66454249704772,NA,106.205635847554,86.1256161069687,129.561868984134
18,S08000015,C71,Malignant brain cancer,Females,NA,2017-2021,0,1,1,1,0,1,5,1,0,4,12,8,6,10,6,10,9,4,79,0,2.07947763521803,2.02880908906472,2.10779250890542,0,1.95297242402937,9.46611132146914,1.90049032650424,0,6.08902149424587,15.7795076793604,10.6503361512348,8.73896705409421,15.8813346673654,9.95140397724446,22.6121562952243,28.1610813855252,12.9857481414148,8.21916668053868,6.50719166260163,10.2435340299173,7.25450699948766,5.729794627093,NA,8.95637283422798,NA,4.4556884321286,3.32953670439781,NA,5.74337022154332,NA,106.088408080688,83.991191734305,132.217809979133
19,S08000015,"C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)",All,d,2017-2021,2,3,2,4,1,3,6,5,2,5,17,19,16,21,21,26,18,11,182,2.3095755000231,3.04259634888438,1.99288539912512,4.14460527815482,0.983564634949986,2.93625392723963,5.99742110892316,5.04866917080658,2.01330796565297,4.04845187200415,11.8931020008395,13.2150930272996,12.1583318768665,17.3733195449845,18.361297881456,32.1782178217822,32.1761824747059,22.9204867477913,9.858514072758,8.4782219401345,11.3994747676402,9.17216372396147,7.86379591050418,NA,10.5797336070502,NA,5.58531606901455,4.60135940681681,NA,6.66319240123224,NA,105.592417731993,90.8084064312525,122.097315346554
20,S08000015,"C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)",Male,NA,2017-2021,2,2,1,3,1,2,1,4,1,1,5,11,10,11,15,16,8,7,101,4.47888207103507,3.95953356694581,1.95821176101984,6.11396429444852,1.90519737844841,3.92410775599898,2.11761218050526,8.61734671894524,2.14965927900428,1.7297446896838,7.47473539436704,16.0209729099913,15.8883998792482,18.9956482696691,27.7377121934983,43.7445319335083,33.3569611808364,40.7237186572808,11.4130483913252,9.29611535914252,13.8678883946056,10.8790696638638,8.82281538326688,NA,13.147488760884,NA,6.58570532482869,5.03374390385031,NA,8.34301764556251,NA,106.343883059656,86.618839311426,129.217458049266
21,S08000015,"C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)",Females,NA,2017-2021,0,1,1,1,0,1,5,1,1,4,12,8,6,10,6,10,10,4,81,0,2.07947763521803,2.02880908906472,2.10779250890542,0,1.95297242402937,9.46611132146914,1.90049032650424,1.89322226429383,6.08902149424587,15.7795076793604,10.6503361512348,8.73896705409421,15.8813346673654,9.95140397724446,22.6121562952243,31.2900904283613,12.9857481414148,8.42724684966624,6.6924504346946,10.4742983724103,7.46525778405913,5.91311598505804,NA,9.19555942941265,NA,4.58492681320041,3.43848907880891,NA,5.8937715176128,NA,104.67015290387,83.1232100824004,130.09544300276
22,S08000015,"D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)",All,d,2017-2021,2,1,1,5,3,4,5,8,10,17,11,21,19,35,37,22,20,18,239,2.3095755000231,1.01419878296146,0.996442699562562,5.18075659769353,2.95069390484996,3.9150052363195,4.99785092410264,8.07787067329052,10.0665398282648,13.7647363648141,7.69553658877851,14.6061554512259,14.438019103779,28.9555325749741,32.3508581720891,27.2277227722772,35.7513138607844,37.5062510418403,12.9460706779624,11.3566655276176,14.6956540985087,11.6758836615029,10.2176648338072,NA,13.2299530712554,NA,7.27773303170742,6.17001151338706,NA,8.47555875857658,NA,107.266134829326,94.0969384456288,121.762506412013
